,1Time Airline;1T;RNX;NEXTIME;South Africa
0,40-Mile Air;Q5;MLA;MILE-AIR;United States
1,ABSA - Aerolinhas Brasileiras;M3;TUS;ABSA Cargo;Brazil
2,ABX Air;GB;ABX;ABEX;United States
3,ACES Colombia;VX;AES;ACES;Colombia
4,ADC Airlines;Z7;ADK;ADCO;Nigeria
5,AOM French Airlines;IW;AOM;French Lines;France
6,ATA Airlines;TZ;AMT;AMTRAN;United States
7,ATRAN Cargo Airlines;V8;VAS;ATRAN;Russian Federation
8,AVCOM;J6;AOC;AERO AVCOM;Russia
9,Abacus International;1B;\N;\N;Singapore
10,Aban Air;K5;ABE;ABAN;Iran
11,Abelag Aviation;W9;AAB;ABG;Belgium
12,Abu Dhabi Amiri Flight;MO;AUH;SULTAN;United Arab Emirates
13,Access Air;ZA;CYD;CYCLONE;United States
14,Ada Air;ZY;ADE;ADA AIR;Albania
15,Adam Air;KI;DHI;ADAM SKY;Indonesia
16,Adria Airways;JP;ADR;ADRIA;Slovenia
17,Advance Leasing Company;4G;\N;\N;United States
18,Aegean Airlines;A3;AEE;AEGEAN;Greece
19,Aer Arann;RE;REA;AER ARANN;Ireland
20,Aer Lingus;EI;EIN;SHAMROCK;Ireland
21,Aero 2000;4M;DSM;LAN AR;Argentina
22,Aero Airlines;EE;EAY;REVAL;Estonia
23,Aero Asia International;E4;RSO;AERO ASIA;Pakistan
24,Aero Benin;EM;AEB;AEROBEN;Benin
25,Aero California;JR;SER;AEROCALIFORNIA;Mexico
26,Aero Condor Peru;Q6;CDP;CONDOR-PERU;Peru
27,Aero Contractors;AJ;NIG;AEROLINE;Nigeria
28,Aero Flight;GV;ARF;Aero Fox;Germany
29,Aero Lanka;QL;RLN;AERO LANKA;Sri Lanka
30,Aero Services Executive;W4;BES;BIRD EXPRESS;France
31,Aero VIP;2D;AOG;AVIP;Argentina
32,Aero-Charter Ukraine;DW;UCR;CHARTER UKRAINE;Ukraine
33,Aero-Service;BF;RSR;CONGOSERV;Republic of the Congo
34,Aero-Tropics Air Services;HC;ATI;\N;Australia
35,AeroRepública;P5;RPB;AEROREPUBLICA;Colombia
36,Aerocondor;2B;ARD;AEROCONDOR;Portugal
37,Aeroflot Russian Airlines;SU;AFL;AEROFLOT;Russia
38,Aeroflot-Don;D9;DNV;DONAVIA;Russia
39,Aeroflot-Nord;5N;AUL;DVINA;Russia
40,Aeroland Airways;3S;\N;\N;Greece
41,Aerolane;XL;LNE;LAN ECUADOR;Ecuador
42,Aeroline GmbH;7E;AWU;SYLT-AIR;Germany
43,Aerolineas Argentinas;AR;ARG;ARGENTINA;Argentina
44,Aerolineas Galapagos (Aerogal);2K;GLG;AEROGAL;Ecuador
45,Aerolitoral;5D;SLI;COSTERA;Mexico
46,Aeromar;BQ;ROM;BRAVO QUEBEC;Dominican Republic
47,Aeromar;VW;TAO;TRANS-AEROMAR;Mexico
48,Aeromexpress;QO;MPX;AEROMEXPRESS;Mexico
49,Aeromist-Kharkiv;HT;AHW;AEROMIST;Ukraine
50,Aeroméxico;AM;AMX;AEROMEXICO;Mexico
51,Aeropelican Air Services;OT;PEL;PELICAN;Australia
52,Aeroperú;PL;PLI;Aeroperu;Peru
53,Aerosur;5L;RSU;AEROSUR;Bolivia
54,Aerosvit Airlines;VV;AEW;AEROSVIT;Ukraine
55,Africa West;FK;WTA;WEST TOGO;Togo
56,African Safari Airways;QS;QSC;ZEBRA;Kenya
57,African Transport Trading and Investment Company;ML;\N;\N;Sudan
58,Afrinat International Airlines;Q9;AFU;\N;Gambia
59,Afriqiyah Airways;8U;AAW;AFRIQIYAH;Libya
60,Aigle Azur;ZI;AAF;AIGLE AZUR;France
61,Air Afrique;RK;RKA;AIRAFRIC;Ivory Coast
62,Air Algérie;AH;DAH;AIR ALGERIE;Algeria
63,Air Alpha Greenland;GD;AHA;AIR ALPHA;Denmark
64,Air Alps Aviation;A6;LPV;ALPAV;Austria
65,Air Arabia;G9;ABY;ARABIA;United Arab Emirates
66,Air Armenia;QN;ARR;AIR ARMENIA;Armenia
67,Air Astana;KC;KZR;ASTANALINE;Kazakhstan
68,Air Atlanta Icelandic;CC;ABD;ATLANTA;Iceland
69,Air Austral;UU;REU;REUNION;France
70,Air Baltic;BT;BTI;AIRBALTIC;Latvia
71,Air Bangladesh;B9;BGD;AIR BANGLA;Bangladesh
